Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C20",0805,3,10u,
"C10, C11, C12, C15, C4, C5, C6, C7, C8, C9",0402,10,100n,
"C13, C14, C16, C17",0402,4,1uF,
"C18, C19",0402,2,15p,
"C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52",0603,32,1uF,
C3,0402,1,4.7nF,
D1,0805,1,LED,
"D2, D3",MX_Socket_LED,2,SK6812MINI-EA,
"H1, H10, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_2.7mm_M2.5,10,MountingHole,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J2,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,SWD,
J3,PinSocket_1x03_P2.54mm_Horizontal,1,UART,
R1,0402,1,220k,
"R10, R11",0402,2,27,
R12,0402,1,560,
"R13, R5",0402,2,1k,
"R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29",0603,16,100,
"R2, R3",0402,2,5.1k,
"R4, R6",0402,2,20k,
R7,0402,1,1M,
R8,0402,1,470,
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,TS-1187A-B-A-B,
"SW3, SW4",MX_Socket,2,SW_Push,
U1,SOT-223-3_TabPin2,1,NCP1117ST33T3G,
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U6, U7, U8, U9",SW_Cherry_MX_PCB_1.00u_hall_effect,16,DRV5056A3xQDBZxR,
U2,SOT-23-6,1,USBLC6-2SC6,
"U22, U23",SOIC-16_3.9x9.9mm_P1.27mm,2,CD4051BM96,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U4,SOT-353_SC-70-5,1,74AHCT1G125,
U5,RP2040-QFN-56,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
