Designator,Mid X,Mid Y,Rotation,Layer
C1,217.15,-49.55,0.0,top
C10,217.2,-72.3,0.0,top
C11,218.67,-65.65,0.0,top
C12,218.67,-66.6,0.0,top
C13,213.02,-64.75,0.0,top
C14,214.5,-65.2,90.0,top
C15,204.1,-56.4,90.0,top
C18,207.02,-77.9,0.0,top
C19,210.22,-77.9,0.0,top
C2,219.985,-61.297,0.0,top
C20,93.2,-86.2,270.0,top
C21,146.0,-100.4,0.0,top
C22,149.8,-91.4,0.0,top
C23,116.0,-102.4,0.0,top
C24,119.8,-93.4,0.0,top
C25,88.0,-120.4,0.0,top
C26,91.8,-111.4,0.0,top
C27,176.0,-102.4,0.0,top
C28,179.8,-93.4,0.0,top
C29,88.0,-150.4,0.0,top
C3,216.47,-45.85,0.0,top
C30,91.8,-141.4,0.0,top
C31,176.0,-134.4,0.0,top
C32,179.8,-125.4,0.0,top
C33,116.0,-134.4,0.0,top
C34,119.8,-125.4,0.0,top
C35,146.0,-132.4,0.0,top
C36,149.8,-123.4,0.0,top
C37,336.0,-146.4,0.0,top
C38,339.8,-137.4,0.0,top
C39,190.0,-172.4,0.0,top
C4,208.05,-62.12,90.0,top
C40,193.8,-163.4,0.0,top
C41,204.0,-116.4,0.0,top
C42,207.8,-107.4,0.0,top
C43,280.0,-94.4,0.0,top
C44,283.8,-85.4,0.0,top
C45,220.0,-182.4,0.0,top
C46,223.8,-173.4,0.0,top
C47,310.0,-122.4,0.0,top
C48,313.8,-113.4,0.0,top
C49,250.0,-122.4,0.0,top
C5,210.75,-76.057,270.0,top
C50,253.8,-113.4,0.0,top
C51,280.0,-120.4,0.0,top
C52,283.8,-111.4,0.0,top
C6,209.05,-62.12,90.0,top
C7,205.3,-67.0,90.0,top
C8,204.7,-71.0,90.0,top
C9,209.734,-76.057,270.0,top
D1,221.2825,-46.5,0.0,top
J1,209.994,-43.2,180.0,top
J2,184.6,-43.2,180.0,top
K0,146.0,-96.0,0.0,top
K1,116.0,-98.0,0.0,top
K10,204.0,-112.0,0.0,top
K11,280.0,-90.0,0.0,top
K12,220.0,-178.0,0.0,top
K13,310.0,-118.0,0.0,top
K14,250.0,-118.0,0.0,top
K15,280.0,-116.0,0.0,top
K2,88.0,-116.0,0.0,top
K3,176.0,-98.0,0.0,top
K4,88.0,-146.0,0.0,top
K5,176.0,-130.0,0.0,top
K6,116.0,-130.0,0.0,top
K7,146.0,-128.0,0.0,top
K8,336.0,-142.0,0.0,top
K9,190.0,-168.0,0.0,top
R1,217.8,-70.8,0.0,top
R10,210.29,-62.625,270.0,top
R11,212.0,-62.625,270.0,top
R13,208.718,-76.031,270.0,top
R14,149.775,-92.9,0.0,top
R15,119.775,-94.9,0.0,top
R16,91.775,-112.9,0.0,top
R17,179.775,-94.9,0.0,top
R18,91.775,-142.9,0.0,top
R19,179.775,-126.9,0.0,top
R2,212.3,-50.1,270.0,top
R20,119.775,-126.9,0.0,top
R21,149.775,-124.9,0.0,top
R22,339.775,-138.9,0.0,top
R23,193.775,-164.9,0.0,top
R24,207.775,-108.9,0.0,top
R25,283.775,-86.9,0.0,top
R26,223.775,-174.9,0.0,top
R27,313.775,-114.9,0.0,top
R28,253.775,-114.9,0.0,top
R29,283.775,-112.9,0.0,top
R3,207.51,-50.45,0.0,top
R30,203.65,-70.99,90.0,top
R32,204.14,-69.25,180.0,top
R5,194.49,-59.75,180.0,top
R7,216.44,-46.9,0.0,top
R8,224.11,-46.5,0.0,top
R9,197.71,-56.7,180.0,top
SW3,116.0,-66.0,180.0,top
SW4,88.0,-66.0,180.0,top
U1,219.03,-55.226,90.0,top
U2,210.2,-53.2335,90.0,top
U22,212.525,-89.525,0.0,top
U23,228.635,-89.5,0.0,top
U3,200.7,-60.295,270.0,top
U5,210.08,-70.274,0.0,top
Y1,209.4,-80.55,0.0,top
